juges ; terms ; Concepts
J1 ; almond ; dried almonds
 ; alcohol ; alcohol
 ; cooked cherry ; red fruits compote
 ; violet ; violet
J2 ; vegetal  ; vegetal
 ; smoked/roasted ; smoke
J3 ; ammoniac ; ammoniac
 ; cheese ; fermented
 ; solvent ; solvent
J4 ; grilled ; roasted
 ; empyreumatic ; empyreumatic
 ; vanilla ; vanilla
 ; licorice ; vanilla
 ; spice ; spicy
 ; black fruit ; black fruits
J5 ; ethanol ; solvent
 ; dry vegetal ; dry vegetal
 ; hay ; hay
 ; floral ; floral
 ; violet  ; violet
J6 ; vegetal ; vegetal
 ; pepper ; pepper
 ; strawberry ; strawberry
 ; spice ; spicy
 ; red fruits ; red fruits
J7 ; mushroom ; mushroom
 ; humus  ; humus
J8 ; black fruit ; black fruits
 ; jam ; fruits jam
 ; blackberries ; blackberries
J9 ; reduction ; reduced
j10 ; floral ; floral
 ; orange ; orange
 ; peony ; peony
 ; rose ; rose
 ; fresh fruit ; fresh fruits
 ; vegetal ; vegetal
j11 ; floral ; floral
 ; daisy ; garden flower
 ; woody ; woody
 ; red fruit  ; red fruits
j12 ; farm ; farm
 ; burning ; smoke
 ; vegetal ; vegetal
 ; bell pepper ; bell pepper
 ; green bean  ; green vegetables
J13 ; dry vegetal ; dry vegetal
 ; herbaceous ; herbaceous
 ; acetone ; solvent
 ; spicy ; spicy
J14 ; plum ; plum
 ; dry vegetal ; dry vegetal
 ; waxes ; waxes
J15 ; ascessence ; vinegar
 ; pharmaceutical ; pharmaceutical chemical
 ; detergent ; solvent
 ;  fruit ; fruits
 ; fresh vegetal ; fresh vegetal
