juges ; terms ; Concepts
j1 ;  cocoa ; cocoa
 ;  lactic ; lactic acid
 ;  cooked spinach  ; green vegetables
J2 ; vegetal ; vegetal
 ;  citrus ; citrus fruits
 ; oxidized ; oxidized
 ;  stonefruit ; fresh fruits
J3 ; vanilla ; vanilla
 ;  prune ; prune
 ;  chocolate ; black chocolate
J4 ;  ripegrapes ; ripe fruits
 ;  ripegrapes ; cooked fruits
 ;  jam ; fruits jam
 ;  herbaceous ; herbaceous
 ;  green pepper ; pepper
 ;  pyrazines ; 
 ;  black fruit ; black fruits
 ;  blackberry ; blackberries
           J7 ; red fruits ; red fruits
          J8 ; licorice ; licorice
J9 ; black fruit ; black fruits
 ;  licorice  ; licorice
 ; caramel  ; caramel
 ;  cooked fruit  ; ripe fruits
 ;  cooked fruit  ; cooked fruits
J10 ; grape ; grapes
 ;  oxidized  ; oxidized 
 ; coffee  ; coffee
J11 ; vegetal ; vegetal
 ;  pepper ; pepper
 ;  redfruit ; red fruits
 ;  floral ; floral
 ;  raspberry  ; raspberry
J12 ; vegetal ; vegetal
 ;  bell pepper ; bell pepper
        J13 ; plum ; plum
J14 ; dry vegetal ; dry vegetal
 ;  wet wood ; woody
 ;  prune  ; prune
J15 ; fruit ; fruits
 ; cherry brandy ; cherry brandy
 ; dry grass ; dry grass
