juges ; terms ; Concepts
J1 ; lemon ; lemon
 ; fresh laurel ; laurel
 ; mint ; mint
 ; spice ; spicy
J2 ; reducer ; reduced
 ; citrus ; citrus fruits
 ; fresh fruits ; fresh fruits
 ; floral ; floral
 ; pink ; rose
 ; violet ; violet
J3 ; black currant ; black currant
 ; bergamot ; bergamot
J4 ; red fruit ; red fruits
 ; herbaceous ; herbaceous
J5 ; mineral ; mineral
 ; pencil ; pencil
 ; carbon ; hydrocarbon
 ; geranium ; garden flower
 ; floral ; floral
 ; peony ; peony
 ; violet ; violet
J6 ; blackfruits ; black fruits
 ;  redfruits ; red fruits
 ; wood ; woody
 ; spicy ; spicy
J7 ; vegetal ; vegetal
 ; blackcurrant buds ; ripe black fruits
 ; blackcurrant buds ; cooked black fruits
 ; mocha ; mocha
 ; coffee ; coffee
 ; raspberry ; raspberry
J8 ; acetic acid ; vinegar
 ; vinegar ; vinegar
 ; raspberry ; raspberry
J9 ; cooked black fruits ; ripe black fruits
 ; cooked black fruits ; cooked black fruits
 ; compote ; fruits compote
 ; cherries ; cherry
J10 ; jam fruit ; fruits jam
 ; exotic fruit ; exotic fruits
 ; pineapple ; pineapple
 ; banana ; banana
 ; dry figs ; dried figs
 ; spice ; spicy
J11 ; fresh fruit ; fresh fruits
 ; black currant ; black currant
 ; amylic ; amylic
 ; fresh vegetal ; fresh vegetal
J12 ; green beans ; green vegetables
 ; bell pepper ; bell pepper
J13 ; caramel ; caramel
 ; plum ; plum
 ; dry vegetal ; dry vegetal
 ; hay ; hay
J14 ; raspberry ; raspberry
 ; pepper ; pepper
 ; lettuce ; green vegetables
 ; plum ; plum
J15 ; candy raspberry ; red fruits compote
 ; fruit ; fruits
 ; raspberry ; raspberry
