juges ; terms ; Concepts
          J1 ; strawberry syrup ; red fruits compote
J2 ;   reduction ; reduced
 ;  fresh fruit ; fresh fruits
 ;  currant ; currant
 ; vegetal  ;  vegetal 
J3 ; iodine ; iodine
 ;  black currant ; black currant
 ;  hay ; hay
 ;  licorice ; licorice
 ;  tar ; tar
 ;  milk ; milk
 ;  vanilla ; vanilla
 ;  plum  ; plum
J4 ;  red fruit ; red fruits
 ;  black cherry ; black cherry
 ;   spices ; spicy
J5 ; black fruit ; black fruits
 ;  blackberry ; blackberries
 ;  blueberry ; blueberries
 ;  black currant ; black currant
 ;  hay ; hay
J6 ; animal ;  animal
 ; musty  ; moldy
 ;  black fruit ; black fruits
 ;  blackberries ; blackberries
 ; woody ; woody
J7 ;  fruit ; fruits
 ;  empyreumatic  ; empyreumatic
J8 ;  greenpepper ; green pepper
 ;  cosmetics ; chemical
 ;  redfruit  ; red fruits
J9 ; raspberries  ; raspberry
 ; cherries ; cherry
 ; floral ; floral
J10 ;  cooked black fruit ; ripe black fruits
 ;  cooked black fruit ; cooked black fruits
 ;  chocolate ; black chocolate
 ;  spice ; spicy
 ;  coffee ; coffee
 ;  menthol  ; spearmint
J11 ;  milk ; milk
 ;  raspberry ; raspberry
 ;  vegetal ; vegetal
J12 ; farm ; farm
J13 ;  animal ;  animal
 ;  sausage ; sausage
 ;  caramel ; caramel
 ;  dry vegetal ; dry vegetal
 ; drygrass ; dry grass
J14 ;  cigar ; cigar box
 ;  strawberry jam ; red fruits jam
 ;  blackcurrant liqueur  ; ripe black fruits
 ;  blackcurrant liqueur  ; cooked black fruits
 ;  fruit ; fruits
J15 ;  fresh fruit ; fresh fruits
 ;  hay ; hay
 ;  cut grass ; cut grass
 ;  vegetal ; vegetal
 ;  pepper  ; pepper
