juges ; terms ; Concepts
J1 ; red fruits ; red fruits
 ; blackcurrant ; black currant
 ; grape ; grapes
 ; pepper ; pepper
J2 ; cooked fruits ; ripe fruits
 ; cooked fruits ; cooked fruits
 ; compote ; fruits compote
 ; smoked ; smoke
J3 ; grapefruit ; grapefruit
 ; lemon ; lemon
 ; strawberry ; strawberry
 ; Cherry ; cherry
 ; Milk ; milk
 ; zan (=liqorice) ; licorice
 ; menthol ; spearmint
 ; chocolate ; black chocolate
J4 ; leather ; leather
 ; black fruits ; black fruits
 ; vanilla ; vanilla
J5 ; red fruits ; red fruits
 ; black fruits ; black fruits
 ; blueberry ; blueberries
 ; vegetal ; vegetal
 ; hay ; hay 
 ; tobacco ; tobacco
J6 ; vegetal  ; vegetal
 ; aromatic herbs ; aromatic herbs
 ; green pepper ; green pepper
 ; red fruits ; red fruits
 ; currant ; currant
 ; fruits ; fruits
J7 ; red fruits ; red fruits
 ; black currant ; balck currant
 ; animal ; animal
 ; spicy ; spicy
 ; pepper ; pepper
J8 ; potato ; potato
 ; earthy ; damp earth
J9 ; black cooked fruits ; ripe black fruits
 ; black cooked fruits ; cooked black fruits
 ; Roasting ; roasted
J10 ; vegetal ; vegetal
 ; Cut grass ; cut grass
 ; reduction ; reduced
 ; citrus ; citrus fruits
 ; berries ; berries
 ; currant ; currant
J11 ; black  fruits ; black fruits
 ; cherry  ; cherry
 ; black currant jam ; black fruits jam
J12 ; bitter almond ; dried almonds
J13 ; fresh vegetal ; fresh vegetal
 ; tomato leaf ; fresh vegetal
 ; green pepper ; green pepper
 ; spicy  ; spicy
 ; dry vegetal  ; dry vegetal
 ; grape stems ; grapes
 ; citrus  ; citrus fruits
J14 ; prune  ; prune
 ; strawberry ; strawberry
 ; fig ; fresh fruits
 ; dry vegetal  ; dry vegetal
 ; balck currant ; balck currant
 ; pepper (green) ; pepper
J15 ; Empyreumatic  ; empyreumatic
 ; vanilla  ; vanilla
 ; Smoked   ; smoke 
 ; fruity wine ; fruits
 ; fermented (Asescent = aigre) ; fermented
 ; alcohol  ; alcohol
