fresh red fruits         	2
currant                  	2
cherry                   	1
raspberry                	1
grenadine                	1
ripe or cooked red fruits	1
black currant            	1
blackberries             	1
fresh fruits             	1
apricot                  	2
pear                     	2
ripe or cooked fruits    	1
fruits jam               	1
fruits compote           	1
citrus fruits            	1
lemon                    	1
orange                   	2
bergamot                 	1
amylic                   	1
pineapple                	2
prune                    	1
fruits                   	1
nuts                     	1
violet                   	1
blue flowers             	1
honey                    	1
waxes                    	1
floral                   	2
fresh vegetal            	1
herbaceous               	1
grass                    	1
cut grass                	1
hay                      	1
dry grass                	1
vegetal                  	4
green vegetables         	2
aromatic herbs           	1
thyme                    	1
vanilla                  	1
berries                  	1
pepper                   	4
spicy                    	2
animal                   	1
roasted                  	2
tobacco                  	1
varnish                  	1
reduced                  	1
phenols                  	1
mushroom                 	1
